number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_max_features,params_min_samples_leaf,params_n_estimators,params_subsample,state
0,1.0,2026-06-04 00:50:42.543056,2026-06-04 00:50:47.438866,0 days 00:00:04.895810,0.10550756919226546,7,,25,250,0.6624074561769746,COMPLETE
1,1.0,2026-06-04 00:50:47.438866,2026-06-04 00:50:54.593820,0 days 00:00:07.154954,0.010685033500506827,6,sqrt,39,341,0.9329770563201687,COMPLETE
2,1.0,2026-06-04 00:50:54.593820,2026-06-04 00:51:01.240433,0 days 00:00:06.646613,0.04016365455719544,5,,14,222,0.8447411578889518,COMPLETE
3,1.0,2026-06-04 00:51:01.240834,2026-06-04 00:51:07.173926,0 days 00:00:05.933092,0.01901656047035859,6,log2,22,282,0.836965827544817,COMPLETE
4,1.0,2026-06-04 00:51:07.173926,2026-06-04 00:51:10.123563,0 days 00:00:02.949637,0.22381833088786565,7,log2,33,126,0.7218455076693483,COMPLETE
5,1.0,2026-06-04 00:51:10.123563,2026-06-04 00:51:11.990805,0 days 00:00:01.867242,0.01117051225882753,4,sqrt,37,148,0.7035119926400067,COMPLETE
6,0.999873417721519,2026-06-04 00:51:11.990805,2026-06-04 00:51:13.548434,0 days 00:00:01.557629,0.2266841437863108,3,,32,319,0.9757995766256756,COMPLETE
7,1.0,2026-06-04 00:51:13.548434,2026-06-04 00:51:14.688382,0 days 00:00:01.139948,0.011567114555268345,3,log2,15,135,0.7554709158757928,COMPLETE
8,1.0,2026-06-04 00:51:14.688382,2026-06-04 00:51:17.392384,0 days 00:00:02.704002,0.015739959562643655,5,sqrt,33,212,0.6298202574719083,COMPLETE
9,1.0,2026-06-04 00:51:17.392384,2026-06-04 00:51:19.240606,0 days 00:00:01.848222,0.0973070174846508,6,log2,30,102,0.9085081386743783,COMPLETE
10,1.0,2026-06-04 00:51:19.240606,2026-06-04 00:51:26.206949,0 days 00:00:06.966343,0.05298889684786049,2,,3,478,0.6086600582523732,COMPLETE
11,1.0,2026-06-04 00:51:26.206949,2026-06-04 00:51:36.277937,0 days 00:00:10.070988,0.031192840553217773,7,sqrt,40,373,0.9956607311994634,COMPLETE
12,1.0,2026-06-04 00:51:36.277937,2026-06-04 00:51:42.026327,0 days 00:00:05.748390,0.10752177989640631,6,,24,396,0.8293163910604916,COMPLETE
13,1.0,2026-06-04 00:51:42.026327,2026-06-04 00:51:47.367249,0 days 00:00:05.340922,0.08181995632805814,7,sqrt,25,283,0.9113613572674328,COMPLETE
14,1.0,2026-06-04 00:51:47.367249,2026-06-04 00:52:00.978557,0 days 00:00:13.611308,0.024024129652133453,5,,16,380,0.6684815593910434,COMPLETE
15,1.0,2026-06-04 00:52:00.978557,2026-06-04 00:52:04.686015,0 days 00:00:03.707458,0.13772689583022277,6,sqrt,7,449,0.7732463321302683,COMPLETE
16,1.0,2026-06-04 00:52:04.686015,2026-06-04 00:52:08.853477,0 days 00:00:04.167462,0.05749588847368508,7,sqrt,28,214,0.9122676071774374,COMPLETE
17,1.0,2026-06-04 00:52:08.853477,2026-06-04 00:52:11.398684,0 days 00:00:02.545207,0.16422062948791913,6,,19,324,0.7936487643477413,COMPLETE
18,1.0,2026-06-04 00:52:11.398684,2026-06-04 00:52:16.506973,0 days 00:00:05.108289,0.06642313039952902,5,,40,255,0.6566336966609405,COMPLETE
19,1.0,2026-06-04 00:52:16.506973,2026-06-04 00:52:20.723991,0 days 00:00:04.217018,0.027221672006112835,4,sqrt,8,334,0.9524404139265739,COMPLETE
20,1.0,2026-06-04 00:52:20.723991,2026-06-04 00:52:25.256672,0 days 00:00:04.532681,0.044306138145971626,7,,35,178,0.8789026171383101,COMPLETE
21,1.0,2026-06-04 00:52:25.256672,2026-06-04 00:52:30.521342,0 days 00:00:05.264670,0.040704404469160495,5,,12,232,0.8294757870022367,COMPLETE
22,1.0,2026-06-04 00:52:30.521342,2026-06-04 00:52:35.173913,0 days 00:00:04.652571,0.035612204431949894,4,,20,182,0.8643109861993714,COMPLETE
23,0.9998939719928034,2026-06-04 00:52:35.173913,2026-06-04 00:52:41.648318,0 days 00:00:06.474405,0.017664528074418945,6,,27,298,0.9593193067275665,COMPLETE
24,0.999873417721519,2026-06-04 00:52:41.648318,2026-06-04 00:52:44.063410,0 days 00:00:02.415092,0.12346358746117761,5,,12,243,0.9337803994891684,COMPLETE
25,1.0,2026-06-04 00:52:44.063410,2026-06-04 00:52:47.737322,0 days 00:00:03.673912,0.07331560192263517,6,sqrt,16,428,0.7194370479516885,COMPLETE
26,1.0,2026-06-04 00:52:47.738328,2026-06-04 00:52:49.589038,0 days 00:00:01.850710,0.16948821711527448,7,,3,180,0.8738445964974806,COMPLETE
27,1.0,2026-06-04 00:52:49.589038,2026-06-04 00:52:56.076748,0 days 00:00:06.487710,0.021615467736951412,5,,10,270,0.8081264455392418,COMPLETE
28,1.0,2026-06-04 00:52:56.076748,2026-06-04 00:53:00.265776,0 days 00:00:04.189028,0.013272973670733757,4,log2,20,355,0.7568041937578096,COMPLETE
29,1.0,2026-06-04 00:53:00.265776,2026-06-04 00:53:05.422668,0 days 00:00:05.156892,0.015302532921928609,6,sqrt,24,295,0.856212053346252,COMPLETE
30,1.0,2026-06-04 00:53:05.422668,2026-06-04 00:53:08.753387,0 days 00:00:03.330719,0.048834631722103915,6,log2,29,211,0.6890856504276157,COMPLETE
31,1.0,2026-06-04 00:53:08.753387,2026-06-04 00:53:13.437444,0 days 00:00:04.684057,0.021301835342218006,7,log2,22,271,0.7379634993044938,COMPLETE
32,1.0,2026-06-04 00:53:13.437444,2026-06-04 00:53:19.472326,0 days 00:00:06.034882,0.010892714467319787,7,log2,37,314,0.8425757435957397,COMPLETE
33,1.0,2026-06-04 00:53:19.472326,2026-06-04 00:53:25.198934,0 days 00:00:05.726608,0.010087125544515045,6,log2,18,356,0.7926622398228274,COMPLETE
34,1.0,2026-06-04 00:53:25.198934,2026-06-04 00:53:28.639833,0 days 00:00:03.440899,0.017605637219993555,5,log2,36,231,0.8923999425709396,COMPLETE
35,1.0,2026-06-04 00:53:28.639833,2026-06-04 00:53:31.148622,0 days 00:00:02.508789,0.012379676250054143,6,log2,13,150,0.9367031312708218,COMPLETE
36,1.0,2026-06-04 00:53:31.148622,2026-06-04 00:53:32.972712,0 days 00:00:01.824090,0.23060065702765206,7,sqrt,31,259,0.992908554722491,COMPLETE
37,1.0,2026-06-04 00:53:32.972712,2026-06-04 00:53:39.389336,0 days 00:00:06.416624,0.013982443780371605,3,,33,343,0.6916618853509834,COMPLETE
38,1.0,2026-06-04 00:53:39.390017,2026-06-04 00:53:42.964986,0 days 00:00:03.574969,0.0322446752704402,5,log2,26,300,0.6051091944080014,COMPLETE
39,1.0,2026-06-04 00:53:42.964986,2026-06-04 00:53:45.905827,0 days 00:00:02.940841,0.017568445381450887,6,sqrt,21,197,0.6425559154791332,COMPLETE
